seed,condition,step,analysis_label,non_renormalized_label,accuracy_A,accuracy_B,routing_specialization,router_entropy,causal_specialization_renormalized,causal_specialization_non_renormalized
18,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9889199733734131,0.98853999376297,0.7613785266876221,0.3567029684782028,0.47126999497413635,0.37880998849868774
18,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.502839982509613,0.9722200036048889,0.015375196933746338,0.6744530498981476,0.051950037479400635,0.05810001492500305
18,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9740599989891052,0.9788200259208679,0.145158052444458,0.6200069189071655,0.1872900426387787,0.17238003015518188
18,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9869599938392639,0.9884399771690369,0.1333049088716507,0.6163653135299683,0.21098995208740234,0.19126999378204346
18,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9742599725723267,0.5047199726104736,0.002875998616218567,0.6725979745388031,0.04396998882293701,0.054870009422302246
18,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9738199710845947,0.9765200018882751,0.17278039455413818,0.635321706533432,0.10028001666069031,0.09245997667312622
18,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9879599809646606,0.9886599779129028,0.1679764688014984,0.6366834938526154,0.10324999690055847,0.09539997577667236
18,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9680600166320801,0.9685199856758118,0.1636129766702652,0.6498029828071594,0.07656002044677734,0.07712998986244202
19,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9785400032997131,0.976419985294342,0.7693752646446228,0.3542025089263916,0.4762499928474426,0.3540000021457672
19,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9888799786567688,0.9876999855041504,0.7676074504852295,0.3558834046125412,0.48431000113487244,0.3623200058937073
19,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.49643999338150024,0.9722399711608887,0.006468355655670166,0.6790285706520081,0.08080996572971344,0.08465999364852905
19,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9805799722671509,0.9782800078392029,0.8196858167648315,0.2952335476875305,0.47214996814727783,0.39485999941825867
19,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9882400035858154,0.9887599945068359,0.8319486379623413,0.28184637427330017,0.4796600341796875,0.39743998646736145
19,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9700199961662292,0.5077999830245972,0.11723117530345917,0.6447703242301941,0.1648399829864502,0.15393003821372986
19,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9779199957847595,0.9733399748802185,0.7236725091934204,0.37178201973438263,0.35203999280929565,0.3500799834728241
19,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9875800013542175,0.9861000180244446,0.7323000431060791,0.3655378818511963,0.35728999972343445,0.3554399907588959
19,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.957539975643158,0.968779981136322,0.6669474840164185,0.42417027056217194,0.302949994802475,0.3083399832248688
2,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9783200025558472,0.9747800230979919,0.35715150833129883,0.6026744842529297,0.2634499967098236,0.24491000175476074
2,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9894400238990784,0.9871000051498413,0.36494937539100647,0.598097950220108,0.28988000750541687,0.27150002121925354
2,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.49928000569343567,0.9700999855995178,0.02381497621536255,0.6776252090930939,0.2378299981355667,0.2380799651145935
2,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9827799797058105,0.9770200252532959,0.7830021381378174,0.3382204473018646,0.48701000213623047,0.36327001452445984
2,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9899200201034546,0.9901599884033203,0.7861422300338745,0.3342321664094925,0.495930016040802,0.36987996101379395
2,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9785400032997131,0.5044400095939636,0.02516956627368927,0.6686476767063141,0.051899999380111694,0.062249988317489624
