ЭТАП 1/2 — обучение: 60 моделей | seeds=20 | conditions=3

--- запуск 1/60: seed=0, condition=INTERLEAVED ---
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.5% 2/60 | seed=0 BLOCKED_AB | step 10000/20000 | ETA текущего run 0м 54с | checkpoint
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.5% 2/60 | seed=0 BLOCKED_AB | step 10500/20000 | ETA текущего run 0м 52с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.6% 2/60 | seed=0 BLOCKED_AB | step 11000/20000 | ETA текущего run 0м 49с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.6% 2/60 | seed=0 BLOCKED_AB | step 11500/20000 | ETA текущего run 0м 46с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.7% 2/60 | seed=0 BLOCKED_AB | step 12000/20000 | ETA текущего run 0м 43с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.7% 2/60 | seed=0 BLOCKED_AB | step 12500/20000 | ETA текущего run 0м 41с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.8% 2/60 | seed=0 BLOCKED_AB | step 13000/20000 | ETA текущего run 0м 38с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.8% 2/60 | seed=0 BLOCKED_AB | step 13500/20000 | ETA текущего run 0м 35с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.8% 2/60 | seed=0 BLOCKED_AB | step 14000/20000 | ETA текущего run 0м 32с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.9% 2/60 | seed=0 BLOCKED_AB | step 14500/20000 | ETA текущего run 0м 30с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.9% 2/60 | seed=0 BLOCKED_AB | step 15000/20000 | ETA текущего run 0м 27с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.0% 2/60 | seed=0 BLOCKED_AB | step 15500/20000 | ETA текущего run 0м 24с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.0% 2/60 | seed=0 BLOCKED_AB | step 16000/20000 | ETA текущего run 0м 22с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.0% 2/60 | seed=0 BLOCKED_AB | step 16500/20000 | ETA текущего run 0м 20с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.1% 2/60 | seed=0 BLOCKED_AB | step 17000/20000 | ETA текущего run 0м 17с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.1% 2/60 | seed=0 BLOCKED_AB | step 17500/20000 | ETA текущего run 0м 15с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.2% 2/60 | seed=0 BLOCKED_AB | step 18000/20000 | ETA текущего run 0м 12с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.2% 2/60 | seed=0 BLOCKED_AB | step 18500/20000 | ETA текущего run 0м 09с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.2% 2/60 | seed=0 BLOCKED_AB | step 19000/20000 | ETA текущего run 0м 06с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.3% 2/60 | seed=0 BLOCKED_AB | step 19500/20000 | ETA текущего run 0м 03с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.3% 2/60 | seed=0 BLOCKED_AB | step 20000/20000 | ETA текущего run 0м 00с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.3% 2/60 | seed=0 BLOCKED_AB | step 20000/20000 | ETA текущего run 0м 00с | checkpoint
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.3% 2/60 | seed=0 BLOCKED_AB | step 20000/20000 | ETA текущего run 0м 00с | completed

--- запуск 3/60: seed=0, condition=BLOCKED_BA ---
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.3% 3/60 | seed=0 BLOCKED_BA | step 0/20000 | ETA текущего run 0м 00с | started
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.4% 3/60 | seed=0 BLOCKED_BA | step 500/20000 | ETA текущего run 1м 26с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.4% 3/60 | seed=0 BLOCKED_BA | step 1000/20000 | ETA текущего run 1м 42с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.5% 3/60 | seed=0 BLOCKED_BA | step 1500/20000 | ETA текущего run 1м 45с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.5% 3/60 | seed=0 BLOCKED_BA | step 2000/20000 | ETA текущего run 1м 41с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.5% 3/60 | seed=0 BLOCKED_BA | step 2500/20000 | ETA текущего run 1м 38с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.6% 3/60 | seed=0 BLOCKED_BA | step 3000/20000 | ETA текущего run 1м 35с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.6% 3/60 | seed=0 BLOCKED_BA | step 3500/20000 | ETA текущего run 1м 40с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.7% 3/60 | seed=0 BLOCKED_BA | step 4000/20000 | ETA текущего run 1м 35с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.7% 3/60 | seed=0 BLOCKED_BA | step 4000/20000 | ETA текущего run 1м 36с | checkpoint
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.7% 3/60 | seed=0 BLOCKED_BA | step 4500/20000 | ETA текущего run 1м 32с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.8% 3/60 | seed=0 BLOCKED_BA | step 5000/20000 | ETA текущего run 1м 35с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.8% 3/60 | seed=0 BLOCKED_BA | step 5500/20000 | ETA текущего run 1м 44с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.8% 3/60 | seed=0 BLOCKED_BA | step 6000/20000 | ETA текущего run 1м 49с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.9% 3/60 | seed=0 BLOCKED_BA | step 6500/20000 | ETA текущего run 1м 52с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.9% 3/60 | seed=0 BLOCKED_BA | step 7000/20000 | ETA текущего run 1м 54с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.0% 3/60 | seed=0 BLOCKED_BA | step 7500/20000 | ETA текущего run 1м 55с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.0% 3/60 | seed=0 BLOCKED_BA | step 8000/20000 | ETA текущего run 1м 54с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.0% 3/60 | seed=0 BLOCKED_BA | step 8500/20000 | ETA текущего run 1м 54с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.1% 3/60 | seed=0 BLOCKED_BA | step 9000/20000 | ETA текущего run 1м 52с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.1% 3/60 | seed=0 BLOCKED_BA | step 9500/20000 | ETA текущего run 1м 50с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.2% 3/60 | seed=0 BLOCKED_BA | step 10000/20000 | ETA текущего run 1м 47с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.2% 3/60 | seed=0 BLOCKED_BA | step 10000/20000 | ETA текущего run 1м 47с | checkpoint
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.2% 3/60 | seed=0 BLOCKED_BA | step 10500/20000 | ETA текущего run 1м 44с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.2% 3/60 | seed=0 BLOCKED_BA | step 11000/20000 | ETA текущего run 1м 41с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.3% 3/60 | seed=0 BLOCKED_BA | step 11500/20000 | ETA текущего run 1м 37с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.3% 3/60 | seed=0 BLOCKED_BA | step 12000/20000 | ETA текущего run 1м 32с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.4% 3/60 | seed=0 BLOCKED_BA | step 12500/20000 | ETA текущего run 1м 28с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.4% 3/60 | seed=0 BLOCKED_BA | step 13000/20000 | ETA текущего run 1м 23с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.5% 3/60 | seed=0 BLOCKED_BA | step 13500/20000 | ETA текущего run 1м 18с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.5% 3/60 | seed=0 BLOCKED_BA | step 14000/20000 | ETA текущего run 1м 10с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.5% 3/60 | seed=0 BLOCKED_BA | step 14500/20000 | ETA текущего run 1м 03с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.6% 3/60 | seed=0 BLOCKED_BA | step 15000/20000 | ETA текущего run 0м 56с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.6% 3/60 | seed=0 BLOCKED_BA | step 15500/20000 | ETA текущего run 0м 50с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.7% 3/60 | seed=0 BLOCKED_BA | step 16000/20000 | ETA текущего run 0м 43с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.7% 3/60 | seed=0 BLOCKED_BA | step 16500/20000 | ETA текущего run 0м 37с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.8% 3/60 | seed=0 BLOCKED_BA | step 17000/20000 | ETA текущего run 0м 31с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.8% 3/60 | seed=0 BLOCKED_BA | step 17500/20000 | ETA текущего run 0м 26с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.8% 3/60 | seed=0 BLOCKED_BA | step 18000/20000 | ETA текущего run 0м 20с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.9% 3/60 | seed=0 BLOCKED_BA | step 18500/20000 | ETA текущего run 0м 15с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   4.9% 3/60 | seed=0 BLOCKED_BA | step 19000/20000 | ETA текущего run 0м 10с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.0% 3/60 | seed=0 BLOCKED_BA | step 19500/20000 | ETA текущего run 0м 04с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.0% 3/60 | seed=0 BLOCKED_BA | step 20000/20000 | ETA текущего run 0м 00с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.0% 3/60 | seed=0 BLOCKED_BA | step 20000/20000 | ETA текущего run 0м 00с | checkpoint
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.0% 3/60 | seed=0 BLOCKED_BA | step 20000/20000 | ETA текущего run 0м 00с | completed

--- запуск 4/60: seed=1, condition=INTERLEAVED ---
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.0% 4/60 | seed=1 INTERLEAVED | step 0/20000 | ETA текущего run 0м 00с | started
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.0% 4/60 | seed=1 INTERLEAVED | step 500/20000 | ETA текущего run 1м 23с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.1% 4/60 | seed=1 INTERLEAVED | step 1000/20000 | ETA текущего run 1м 34с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.1% 4/60 | seed=1 INTERLEAVED | step 1500/20000 | ETA текущего run 1м 35с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.2% 4/60 | seed=1 INTERLEAVED | step 2000/20000 | ETA текущего run 1м 34с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.2% 4/60 | seed=1 INTERLEAVED | step 2500/20000 | ETA текущего run 1м 30с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.2% 4/60 | seed=1 INTERLEAVED | step 3000/20000 | ETA текущего run 1м 27с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.3% 4/60 | seed=1 INTERLEAVED | step 3500/20000 | ETA текущего run 1м 23с | training
ЭТАП 1/2 — обучение █░░░░░░░░░░░░░░░░░░░░░░░░░░░   5.3% 4/60 | seed=1 INTERLEAVED | step 4000/20000 | ETA текущего run 1м 21с | training
